epoch,view,l1,mse,psnr,ssim
0,0,0.04371548,0.01078618,19.6713,0.7369
0,8,0.05535963,0.01596020,17.9696,0.6620
0,16,0.08194938,0.03212103,14.9321,0.6289
0,24,0.10879716,0.05280019,12.7736,0.6151
15,0,0.01881737,0.00278288,25.5550,0.8975
15,8,0.02537050,0.00401516,23.9630,0.8754
15,16,0.02761621,0.00426576,23.7000,0.8653
15,24,0.02966488,0.00500902,23.0025,0.8370
30,0,0.01674964,0.00225389,26.4707,0.9126
30,8,0.02086371,0.00296174,25.2845,0.9050
30,16,0.02399780,0.00335823,24.7389,0.8900
30,24,0.02562641,0.00388955,24.1010,0.8619
